Reading timing models for corner nom_ff_n40C_5v50…
Reading timing library for the 'nom_ff_n40C_5v50' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__ff_n40C_5v50.lib'…
Reading timing models for corner nom_tt_025C_5v00…
Reading timing library for the 'nom_tt_025C_5v00' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__tt_025C_5v00.lib'…
Reading timing models for corner nom_ss_125C_4v50…
Reading timing library for the 'nom_ss_125C_4v50' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__ss_125C_4v50.lib'…
Reading OpenROAD database at '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/27-openroad-globalplacement/ascon_top.odb'…
Reading design constraints file at '/usr/local/lib/python3.12/dist-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 4.0
[INFO] Setting input delay to: 4.0
[INFO] Setting load to: 0.07291
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0027] Inserted 4 input buffers.
[INFO RSZ-0028] Inserted 1 output buffers.
[INFO RSZ-0058] Using max wire length 11391um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     15329
      100 |      54 |       0 |            98 |     15229
      200 |      86 |       0 |           130 |     15129
      300 |      88 |       0 |           221 |     15029
      400 |      91 |       0 |           311 |     14929
      500 |      93 |       0 |           356 |     14829
      600 |      93 |       0 |           404 |     14729
      700 |      94 |       0 |           447 |     14629
      800 |      95 |       0 |           476 |     14529
      900 |      95 |       0 |           496 |     14429
     1000 |      97 |       0 |           502 |     14329
     1100 |      97 |       0 |           529 |     14229
     1200 |     109 |      10 |           548 |     14129
     1300 |     110 |      10 |           549 |     14029
     1400 |     110 |      10 |           549 |     13929
     1500 |     110 |      10 |           549 |     13829
     1600 |     110 |      10 |           549 |     13729
     1700 |     110 |      10 |           549 |     13629
     1800 |     110 |      10 |           549 |     13529
     1900 |     110 |      10 |           549 |     13429
     2000 |     110 |      10 |           549 |     13329
     2100 |     110 |      10 |           549 |     13229
     2200 |     110 |      10 |           549 |     13129
     2300 |     110 |      10 |           549 |     13029
     2400 |     110 |      10 |           549 |     12929
     2500 |     110 |      10 |           549 |     12829
     2600 |     111 |      10 |           556 |     12729
     2700 |     111 |      10 |           567 |     12629
     2800 |     123 |      14 |           577 |     12529
     2900 |     127 |      14 |           577 |     12429
     3000 |     127 |      14 |           577 |     12329
     3100 |     127 |      14 |           577 |     12229
     3200 |     127 |      14 |           577 |     12129
     3300 |     127 |      14 |           577 |     12029
     3400 |     127 |      14 |           577 |     11929
     3500 |     127 |      14 |           577 |     11829
     3600 |     127 |      14 |           577 |     11729
     3700 |     127 |      14 |           577 |     11629
     3800 |     127 |      14 |           577 |     11529
     3900 |     127 |      14 |           577 |     11429
     4000 |     127 |      14 |           577 |     11329
     4100 |     127 |      14 |           577 |     11229
     4200 |     127 |      14 |           577 |     11129
     4300 |     127 |      14 |           577 |     11029
     4400 |     127 |      14 |           577 |     10929
     4500 |     127 |      14 |           577 |     10829
     4600 |     127 |      14 |           577 |     10729
     4700 |     207 |      79 |           588 |     10629
     4800 |     232 |      87 |           590 |     10529
     4900 |     232 |      87 |           590 |     10429
     5000 |     232 |      87 |           590 |     10329
     5100 |     232 |      87 |           590 |     10229
     5200 |     232 |      87 |           590 |     10129
     5300 |     356 |     203 |           604 |     10029
     5400 |     502 |     344 |           621 |      9929
     5500 |     503 |     344 |           622 |      9829
     5600 |     713 |     522 |           648 |      9729
     5700 |     886 |     652 |           665 |      9629
     5800 |     886 |     652 |           665 |      9529
     5900 |     886 |     652 |           665 |      9429
