net,length_um
net607,1.74727mm
net739,1.73386mm
net240,1.69704mm
net1101,1.68207mm
net340,1.67142mm
net1189,1.66031mm
net174,1.58378mm
net1205,1.58286mm
net1138,1.54138mm
net712,1.54016mm
net1143,1.53138mm
net1072,1.5266mm
net1086,1.49952mm
rx_data\[3\],1.48455mm
net1091,1.48172mm
net1064,1.45901mm
clknet_2_0_0_clk,1.45267mm
net1291,1.45115mm
net1296,1.4367mm
net1168,1.43406mm
net1068,1.42219mm
net1097,1.42188mm
net1259,1.4201mm
net1152,1.41493mm
net1255,1.41333mm
net1160,1.40732mm
net1271,1.40427mm
net224,1.40365mm
net1187,1.40246mm
net1290,1.39589mm
clknet_2_3_0_clk,1.39551mm
net1177,1.38981mm
net1114,1.38874mm
net1275,1.38528mm
net1171,1.37673mm
net1154,1.36844mm
net1181,1.36084mm
net1190,1.34934mm
net1267,1.34843mm
net1297,1.34832mm
clknet_2_2_0_clk,1.33793mm
net1207,1.33549mm
net308,1.33047mm
net1351,1.31991mm
net1066,1.31869mm
net1279,1.31797mm
net1197,1.31482mm
net633,1.3146mm
net1249,1.30922mm
net1346,1.30365mm
net1247,1.29173mm
net1227,1.28759mm
net1195,1.28367mm
net1363,1.28173mm
net1245,1.28132mm
net878,1.27916mm
net1344,1.27909mm
net1253,1.27562mm
net1129,1.26922mm
net1300,1.26904mm
net1132,1.26884mm
_12067_,1.26219mm
net1281,1.25984mm
net1164,1.25343mm
net1088,1.2497mm
net1219,1.24706mm
net1092,1.24543mm
net1118,1.24059mm
net814,1.23779mm
net1210,1.23545mm
net1340,1.2347mm
net1251,1.2337mm
net266,1.23057mm
net927,1.2287mm
net134,1.22557mm
net1130,1.22507mm
net166,1.2243mm
net1099,1.22349mm
net1076,1.22298mm
net1354,1.22293mm
clknet_2_1_0_clk,1.22244mm
net1211,1.21701mm
net1185,1.21629mm
net1287,1.21624mm
net1299,1.2155mm
net1362,1.21484mm
net1193,1.21332mm
net1200,1.21224mm
net1148,1.20939mm
net1283,1.20934mm
_12055_,1.20563mm
net1234,1.20343mm
net561,1.19828mm
net1175,1.19672mm
net644,1.19396mm
net1141,1.19259mm
net1126,1.19167mm
net1109,1.18994mm
net1215,1.18652mm
net884,1.18557mm
net1304,1.18198mm
net721,1.18195mm
net1134,1.18166mm
net1293,1.18064mm
net615,1.17635mm
net670,1.17032mm
net1124,1.16841mm
net1071,1.16627mm
net1341,1.16544mm
net1119,1.16357mm
net1239,1.16235mm
_08438_,1.16142mm
net1173,1.15979mm
net544,1.15813mm
net1573,1.1528mm
net1084,1.15181mm
net1156,1.15021mm
_12013_,1.15015mm
net1231,1.14855mm
net1150,1.14625mm
net328,1.14586mm
net258,1.14484mm
net1146,1.14285mm
net576,1.13761mm
net1167,1.13435mm
net1243,1.12768mm
clknet_0_clk,1.12601mm
net207,1.12519mm
net1116,1.12371mm
net1583,1.12234mm
net269,1.12172mm
net1295,1.11976mm
net767,1.11625mm
net1565,1.11307mm
net657,1.11144mm
net1136,1.10564mm
net1568,1.10447mm
_11597_,1.10358mm
net1241,1.10304mm
net349,1.10268mm
net906,1.10241mm
net1080,1.10116mm
net1087,1.0994mm
_12045_,1.09758mm
net1235,1.09339mm
net1104,1.07845mm
net1237,1.07779mm
net1285,1.07779mm
_08967_,1.07759mm
net838,1.07755mm
_12005_,1.07647mm
net1497,1.07557mm
_12061_,1.07448mm
net319,1.07443mm
net1163,1.07384mm
net1208,1.07326mm
net1277,1.07316mm
net191,1.07182mm
net1105,1.07163mm
net730,1.0699mm
net1203,1.06832mm
net624,1.0647mm
_12046_,1.06417mm
net1578,1.06302mm
net848,1.0627mm
net92,1.06133mm
net930,1.05763mm
net1257,1.05422mm
net665,1.05415mm
net1202,1.0533mm
net1102,1.05264mm
net1439,1.04729mm
net1330,1.0467mm
_12023_,1.04526mm
_12011_,1.04485mm
_09912_,1.03958mm
_07208_,1.03644mm
net859,1.03454mm
net177,1.03355mm
net849,1.03233mm
net1179,1.03215mm
net610,1.03131mm
_03865_,1.03055mm
net1127,1.02856mm
net1218,1.02337mm
net954,1.02283mm
net1278,1.02166mm
_12068_,1.01997mm
_12054_,1.01859mm
_08901_,1.01779mm
_12073_,1.01696mm
net929,1.01693mm
_12031_,1.01558mm
net853,1.01505mm
net348,1.01471mm
_08835_,1.01417mm
_12032_,1.01094mm
net1107,1.0056mm
net1263,1.00458mm
clk,1.00409mm
net975,1.00314mm
_03772_,1.00255mm
net1122,1.00255mm
_12038_,1.00201mm
net1183,1.00117mm
net857,998.03µm
net199,997.86µm
net751,997.61µm
net219,997.2µm
net851,996.57µm
net1261,995.93µm
net1333,995.31µm
net904,993.64µm
_08042_,991.12µm
net1284,990.94µm
_07071_,985.02µm
net663,982.99µm
net1223,982.61µm
net303,978.77µm
net1069,978.52µm
_07276_,977.9µm
net101,977.83µm
net1082,973.12µm
net1360,971.85µm
net1213,971.39µm
net1217,971.24µm
net852,970.7µm
net129,970.57µm
net797,970.45µm
net1303,970.26µm
net1268,969.86µm
net1273,968.64µm
_12065_,967.42µm
_06309_,964.94µm
net925,963.68µm
net788,959.87µm
net1192,957.39µm
net667,954.96µm
net1198,953.42µm
_12072_,952.45µm
net249,951.04µm
net1662,950.95µm
net978,946.76µm
net870,946.31µm
net142,944.8µm
net867,941.76µm
net543,938.96µm
net1269,937.33µm
net1553,936.85µm
_12057_,936.67µm
net951,935.8µm
net1459,935.36µm
net556,934.99µm
net1560,934.65µm
net1400,933.87µm
net755,933.26µm
_09191_,931.58µm
net855,928.42µm
net869,927.18µm
net1085,926.54µm
net1078,926.49µm
net1158,926.03µm
net629,925.52µm
_12047_,923.86µm
net1110,923.79µm
_12018_,923.11µm
net903,922.92µm
net1741,922.62µm
_08108_,921.91µm
net1380,921.65µm
net281,921.19µm
net818,918.03µm
net946,915.92µm
net1161,912.59µm
net105,909.04µm
net1169,908.77µm
net121,907.67µm
net804,906.88µm
_12053_,905.92µm
_12016_,905.61µm
net232,904.87µm
net1270,904.42µm
net109,904.09µm
net895,903.77µm
net1555,903.02µm
net1058,902.6µm
net150,902.26µm
net840,901.52µm
net722,901.31µm
net759,899.3µm
net1095,897.32µm
_12025_,896.49µm
_12059_,894.81µm
pp_inst.core_inst.kadd_3_done,894.67µm
_05281_,893.8µm
net743,893.17µm
net656,892.07µm
net891,891.99µm
net837,889.22µm
net949,889.16µm
net1875,888.06µm
net871,887.45µm
net959,886.62µm
net1307,884.4µm
net883,884.18µm
net822,883.91µm
_09500_,883.28µm
net598,882.35µm
net1359,881.18µm
net1558,880.26µm
net254,877.68µm
_12071_,877.21µm
net782,875.78µm
_03638_,875.38µm
net138,875.17µm
net926,874.22µm
_03908_,874.21µm
net1738,874.18µm
net649,873.93µm
net704,872.15µm
net145,871.2µm
net127,870.03µm
net960,868.81µm
net118,868.02µm
_11101_,865.66µm
net1347,865.14µm
net806,863.72µm
net787,863.67µm
_07712_,862.87µm
net1165,861.88µm
net664,861.32µm
net282,861.07µm
net1345,860.92µm
net126,860µm
net716,859.29µm
net948,858.88µm
_11594_,858.12µm
net299,857.82µm
net1342,856.59µm
net1096,855.38µm
net130,854.3µm
net1121,853.08µm
net861,852.82µm
net1288,852.67µm
net575,848.6µm
net1441,847.07µm
net1222,844.38µm
_12027_,844.22µm
net189,844.22µm
_09437_,843.52µm
net813,842.54µm
_12015_,841.98µm
net947,841.1µm
_04224_,840.71µm
net1331,840.5µm
net1172,839.34µm
net1294,838.87µm
net1352,838.52µm
_12076_,838.42µm
net1125,838.06µm
net771,837.45µm
_12033_,835.72µm
net1128,834.85µm
_12022_,834.7µm
net1229,834.29µm
net1324,832µm
net167,831.59µm
net1131,830.93µm
net1166,830.32µm
net1067,829.18µm
net1306,825.69µm
_12048_,825.44µm
net654,824.62µm
_04043_,823.96µm
_08604_,822.37µm
net830,821.21µm
net1276,820.75µm
net154,819.61µm
net1298,819.37µm
net876,818.94µm
net872,818.51µm
net1090,818.42µm
net1162,818.05µm
_12120_,816.9µm
net1280,816.68µm
net1353,815.56µm
net662,813.19µm
net862,812.94µm
_12058_,812.33µm
net931,812.33µm
net847,811.74µm
net1221,808.53µm
net792,807.77µm
net1328,807.03µm
net182,806.6µm
net186,804.97µm
net1209,804.82µm
net1137,803.85µm
net726,803.39µm
net697,801.55µm
net1305,800.8µm
net1191,800.59µm
rx_data\[0\],800.45µm
_09531_,799.68µm
net905,799.52µm
net1327,799.52µm
net241,799.16µm
net1206,798.02µm
net747,797.69µm
net1326,796.95µm
net795,796.72µm
net244,796.62µm
net253,796.47µm
_12043_,795.51µm
_10296_,793.72µm
net1098,793.16µm
_12021_,791.01µm
net1329,790.49µm
net1111,790.11µm
net945,790.09µm
net87,784.39µm
net668,783.41µm
net1176,782.47µm
net1074,781.6µm
net1153,781.03µm
net1320,778.8µm
net955,774.68µm
_05993_,772.64µm
net1157,769.84µm
net316,769.54µm
_09123_,768.62µm
net1194,767.4µm
net587,767.3µm
net125,767.25µm
net100,766.7µm
net1233,765.92µm
net120,765.56µm
net601,764.62µm
_12075_,762.62µm
net874,762.46µm
_03729_,761.69µm
_10817_,761.46µm
_12007_,760.74µm
net187,759.61µm
net1302,758.08µm
net720,757.9µm
net1240,757.37µm
net865,756.96µm
net146,755.74µm
net1065,755.54µm
net102,755.18µm
net540,755.18µm
net208,754.92µm
_12020_,753.63µm
net1379,753.52µm
net914,751.29µm
net245,751.26µm
net916,750.34µm
net88,750.14µm
net666,750.09µm
spi_ctrl.word_buf\[22\],749.87µm
net215,749.63µm
_09826_,749.58µm
net1265,749.12µm
net595,749.1µm
net1103,748.66µm
net1411,748.56µm
net124,747.85µm
net1547,747.57µm
net218,747.49µm
net1332,746.14µm
net553,745.78µm
net116,744.28µm
net1551,744.13µm
net307,743.37µm
net805,742.89µm
net1559,742.66µm
net1318,742.25µm
net1437,740.72µm
net242,739.65µm
net302,739.14µm
net579,738.05µm
net1358,737.82µm
net93,736.42µm
_10668_,736.31µm
net1113,736.04µm
net868,735.89µm
net301,735.68µm
_06712_,735.56µm
_11995_,735.24µm
net1742,734.96µm
net967,734.61µm
net1256,732.52µm
net700,731.8µm
net864,730.9µm
net1159,730.44µm
net122,730.03µm
net1418,729.42µm
net1248,729.11µm
net1230,728.96µm
_12063_,728.92µm
key\[28\],726.35µm
net1262,726.01µm
net754,725.75µm
_04923_,725.22µm
net311,724.53µm
net205,724.25µm
net1435,723.41µm
net1184,723.31µm
net1089,723.21µm
net231,722.19µm
net590,720.46µm
net775,719.75µm
net976,719.39µm
net650,718.93µm
_05418_,718.91µm
net639,718.27µm
net1246,718.07µm
net1016,717.81µm
net843,717.43µm
net1196,717.1µm
_09121_,716.54µm
net97,714.35µm
_12254_,714.23µm
net592,712.36µm
net235,709.46µm
net1079,709.39µm
_04089_,709.06µm
net548,708.8µm
net211,708.75µm
net1425,708.7µm
net811,707.83µm
_05246_,707.68µm
net223,707.58µm
net1061,706.91µm
net1737,706.51µm
net899,706.46µm
net703,705.62µm
net545,705.29µm
net1520,704.78µm
net1225,704.22µm
_09412_,704.17µm
net216,703.84µm
net1106,703.81µm
_03997_,703.46µm
net634,702.84µm
_10704_,702.54µm
_05989_,699.74µm
net642,698.57µm
net1117,697.55µm
net785,697.32µm
net777,697.19µm
net1438,696.99µm
net541,696.38µm
net1077,695.21µm
net229,694.75µm
net180,694.19µm
net195,694.19µm
_09954_,694.14µm
net574,693.53µm
net141,693.17µm
_06714_,693.02µm
net1355,691.62µm
net798,690.73µm
_12028_,690.68µm
net617,690.27µm
net839,690.17µm
net1272,689.66µm
net1349,689.56µm
net1289,689.05µm
net1496,687.73µm
net325,687.7µm
_11595_,687.31µm
net1199,686.15µm
net909,686µm
net594,685.84µm
net104,684.98µm
net1188,683.4µm
net713,682.99µm
net165,682.94µm
net259,682.02µm
spi_ctrl.word_buf\[19\],680.95µm
net318,680.85µm
net924,680.67µm
net766,680.34µm
net756,679.32µm
net1554,678.67µm
