Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VDD,Metal1,908.6000,913.3600,4.999982
FILLER_229_1608,VDD,Metal1,907.7600,913.3600,4.999982
FILLER_229_1600,VDD,Metal1,905.4665,913.9365,4.999982
FILLER_229_1566,VDD,Metal1,893.3155,914.1285,4.999982
FILLER_229_1532,VDD,Metal1,874.2755,914.1285,4.999982
FILLER_229_1498,VDD,Metal1,855.2355,914.1285,4.999982
FILLER_229_1464,VDD,Metal1,836.1955,914.1285,4.999982
FILLER_229_1430,VDD,Metal1,817.1555,914.1285,4.999982
FILLER_229_1396,VDD,Metal1,798.1155,914.1285,4.999982
FILLER_229_1362,VDD,Metal1,779.0755,914.1285,4.999982
FILLER_229_1328,VDD,Metal1,760.0355,914.1285,4.999981
FILLER_229_1294,VDD,Metal1,740.9955,914.1285,4.999981
FILLER_229_1260,VDD,Metal1,721.9555,914.1285,4.999980
FILLER_229_1257,VDD,Metal1,710.9200,913.3600,4.999979
FILLER_229_1241,VDD,Metal1,706.7680,914.0520,4.999971
FILLER_229_1226,VDD,Metal1,693.8400,913.3600,4.999971
FILLER_229_1223,VDD,Metal1,691.8800,913.3600,4.999971
FILLER_229_1219,VDD,Metal1,690.8600,913.7925,4.999971
FILLER_229_1211,VDD,Metal1,687.6265,913.9365,4.999970
FILLER_229_1204,VDD,Metal1,681.5200,913.3600,4.999970
FILLER_229_1200,VDD,Metal1,680.2200,913.7925,4.999970
FILLER_229_1192,VDD,Metal1,676.9865,913.9365,4.999970
FILLER_229_1158,VDD,Metal1,664.8355,914.1285,4.999971
FILLER_229_1148,VDD,Metal1,652.3465,913.9365,4.999972
FILLER_229_1142,VDD,Metal1,646.5200,913.3600,4.999973
FILLER_229_1140,VDD,Metal1,645.6800,913.3600,4.999973
FILLER_229_1124,VDD,Metal1,641.2480,914.0520,4.999973
FILLER_229_1113,VDD,Metal1,630.2800,913.3600,4.999973
FILLER_229_1109,VDD,Metal1,629.2600,913.7925,4.999973
FILLER_229_1101,VDD,Metal1,626.0265,913.9365,4.999973
FILLER_229_1094,VDD,Metal1,619.9200,913.3600,4.999973
FILLER_229_1090,VDD,Metal1,618.6200,913.7925,4.999973
FILLER_229_1056,VDD,Metal1,607.7155,914.1285,4.999973
FILLER_229_1022,VDD,Metal1,588.6755,914.1285,4.999973
FILLER_229_988,VDD,Metal1,569.6355,914.1285,4.999973
FILLER_229_954,VDD,Metal1,550.5955,914.1285,4.999973
FILLER_229_920,VDD,Metal1,531.5555,914.1285,4.999973
FILLER_229_886,VDD,Metal1,512.5155,914.1285,4.999974
FILLER_229_852,VDD,Metal1,493.4755,914.1285,4.999975
FILLER_229_818,VDD,Metal1,474.4355,914.1285,4.999975
FILLER_229_784,VDD,Metal1,455.3955,914.1285,4.999975
FILLER_229_780,VDD,Metal1,444.0800,913.3600,4.999975
FILLER_229_776,VDD,Metal1,442.7800,913.7925,4.999975
FILLER_229_766,VDD,Metal1,436.2400,913.3600,4.999975
FILLER_229_750,VDD,Metal1,431.8080,914.0520,4.999975
FILLER_229_740,VDD,Metal1,423.8665,913.9365,4.999975
FILLER_229_724,VDD,Metal1,417.2480,914.0520,4.999975
FILLER_229_682,VDD,Metal1,398.2755,914.1285,4.999975
FILLER_229_648,VDD,Metal1,379.2355,914.1285,4.999975
FILLER_229_614,VDD,Metal1,360.1955,914.1285,4.999975
FILLER_229_580,VDD,Metal1,341.1555,914.1285,4.999975
FILLER_229_546,VDD,Metal1,322.1155,914.1285,4.999975
FILLER_229_512,VDD,Metal1,303.0755,914.1285,4.999975
FILLER_229_478,VDD,Metal1,284.0355,914.1285,4.999975
FILLER_229_444,VDD,Metal1,264.9955,914.1285,4.999975
FILLER_229_410,VDD,Metal1,245.9555,914.1285,4.999975
FILLER_229_407,VDD,Metal1,234.9200,913.3600,4.999975
FILLER_229_400,VDD,Metal1,231.2800,913.3600,4.999975
FILLER_229_392,VDD,Metal1,228.9865,913.9365,4.999975
FILLER_229_376,VDD,Metal1,222.3680,914.0520,4.999976
FILLER_229_342,VDD,Metal1,207.8755,914.1285,4.999976
FILLER_229_308,VDD,Metal1,188.8355,914.1285,4.999976
FILLER_229_274,VDD,Metal1,169.7955,914.1285,4.999977
FILLER_229_258,VDD,Metal1,151.4800,913.3600,4.999978
FILLER_229_256,VDD,Metal1,150.6400,913.3600,4.999978
FILLER_229_240,VDD,Metal1,146.2080,914.0520,4.999978
FILLER_229_206,VDD,Metal1,131.7155,914.1285,4.999978
FILLER_229_172,VDD,Metal1,112.6755,914.1285,4.999979
FILLER_229_138,VDD,Metal1,93.6355,914.1285,4.999979
FILLER_229_104,VDD,Metal1,74.5955,914.1285,4.999979
FILLER_229_70,VDD,Metal1,55.5555,914.1285,4.999980
FILLER_229_36,VDD,Metal1,36.5155,914.1285,4.999980
FILLER_229_2,VDD,Metal1,17.4755,914.1285,4.999982
FILLER_228_1609,VDD,Metal1,908.3200,913.3600,4.999982
FILLER_228_1577,VDD,Metal1,899.4755,912.5910,4.999982
FILLER_228_1571,VDD,Metal1,887.9800,912.9275,4.999982
FILLER_228_1507,VDD,Metal1,869.2750,912.5455,4.999982
FILLER_228_1501,VDD,Metal1,848.7800,912.9275,4.999982
FILLER_228_1437,VDD,Metal1,830.0750,912.5455,4.999982
FILLER_228_1431,VDD,Metal1,809.5800,912.9275,4.999982
FILLER_228_1367,VDD,Metal1,790.8750,912.5455,4.999982
FILLER_228_1361,VDD,Metal1,770.3800,912.9275,4.999981
FILLER_228_1297,VDD,Metal1,751.6750,912.5455,4.999981
FILLER_228_1293,VDD,Metal1,731.3600,913.3600,4.999980
FILLER_228_1261,VDD,Metal1,722.5155,912.5910,4.999980
FILLER_228_1217,VDD,Metal1,690.9865,912.7830,4.999971
FILLER_228_1187,VDD,Metal1,671.7200,913.3600,4.999971
FILLER_228_1157,VDD,Metal1,654.9200,913.3600,4.999971
FILLER_228_1153,VDD,Metal1,652.9600,913.3600,4.999972
FILLER_228_1081,VDD,Metal1,613.5800,912.9275,4.999973
FILLER_228_1017,VDD,Metal1,594.8750,912.5455,4.999973
FILLER_228_1011,VDD,Metal1,574.3800,912.9275,4.999973
FILLER_228_947,VDD,Metal1,555.6750,912.5455,4.999973
FILLER_228_944,VDD,Metal1,535.6400,913.3600,4.999973
FILLER_228_942,VDD,Metal1,534.8000,913.3600,4.999973
FILLER_228_933,VDD,Metal1,530.7000,912.9275,4.999973
FILLER_228_917,VDD,Metal1,525.3280,912.6680,4.999973
FILLER_228_885,VDD,Metal1,511.9555,912.5910,4.999974
FILLER_228_871,VDD,Metal1,495.9800,912.9275,4.999975
FILLER_228_807,VDD,Metal1,477.2750,912.5455,4.999975
FILLER_228_789,VDD,Metal1,453.6480,912.6680,4.999975
FILLER_228_758,VDD,Metal1,431.7600,913.3600,4.999975
FILLER_228_749,VDD,Metal1,426.4400,913.3600,4.999975
FILLER_228_745,VDD,Metal1,425.4200,912.9275,4.999975
