Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VSS,Metal1,908.6000,917.2800,0.000000
FILLER_229_1608,VSS,Metal1,907.7600,917.2800,0.000000
FILLER_229_1600,VSS,Metal1,904.4530,916.8180,0.000000
FILLER_229_1566,VSS,Metal1,891.9640,916.6820,0.000000
FILLER_229_1532,VSS,Metal1,872.9240,916.6820,0.000000
FILLER_229_1498,VSS,Metal1,853.8840,916.6820,0.000000
FILLER_229_1464,VSS,Metal1,834.8440,916.6820,0.000000
FILLER_229_1430,VSS,Metal1,815.8040,916.6820,0.000000
FILLER_229_1396,VSS,Metal1,796.7640,916.6820,0.000000
FILLER_229_1362,VSS,Metal1,777.7240,916.6820,0.000000
FILLER_229_1328,VSS,Metal1,758.6840,916.6820,0.000000
FILLER_229_1294,VSS,Metal1,739.6440,916.6820,0.000000
FILLER_229_1260,VSS,Metal1,720.6040,916.6820,0.000000
FILLER_229_1257,VSS,Metal1,710.9200,917.2800,0.000000
FILLER_229_1241,VSS,Metal1,705.5520,916.7320,0.000000
FILLER_229_1226,VSS,Metal1,693.8400,917.2800,0.000000
FILLER_229_1223,VSS,Metal1,691.8800,917.2800,0.000000
FILLER_229_1219,VSS,Metal1,690.1000,916.9310,0.000000
FILLER_229_1211,VSS,Metal1,686.6130,916.8180,0.000000
FILLER_229_1204,VSS,Metal1,681.5200,917.2800,0.000000
FILLER_229_1200,VSS,Metal1,679.4600,916.9310,0.000000
FILLER_229_1192,VSS,Metal1,675.9730,916.8180,0.000000
FILLER_229_1158,VSS,Metal1,663.4840,916.6820,0.000000
FILLER_229_1148,VSS,Metal1,651.3330,916.8180,0.000000
FILLER_229_1142,VSS,Metal1,646.5200,917.2800,0.000000
FILLER_229_1140,VSS,Metal1,645.6800,917.2800,0.000000
FILLER_229_1124,VSS,Metal1,640.0320,916.7320,0.000000
FILLER_229_1113,VSS,Metal1,630.2800,917.2800,0.000000
FILLER_229_1109,VSS,Metal1,628.5000,916.9310,0.000000
FILLER_229_1101,VSS,Metal1,625.0130,916.8180,0.000000
FILLER_229_1094,VSS,Metal1,619.9200,917.2800,0.000000
FILLER_229_1090,VSS,Metal1,617.8600,916.9310,0.000000
FILLER_229_1056,VSS,Metal1,606.3640,916.6820,0.000000
FILLER_229_1022,VSS,Metal1,587.3240,916.6820,0.000000
FILLER_229_988,VSS,Metal1,568.2840,916.6820,0.000000
FILLER_229_954,VSS,Metal1,549.2440,916.6820,0.000000
FILLER_229_920,VSS,Metal1,530.2040,916.6820,0.000000
FILLER_229_886,VSS,Metal1,511.1640,916.6820,0.000000
FILLER_229_852,VSS,Metal1,492.1240,916.6820,0.000000
FILLER_229_818,VSS,Metal1,473.0840,916.6820,0.000000
FILLER_229_784,VSS,Metal1,454.0440,916.6820,0.000000
FILLER_229_780,VSS,Metal1,444.0800,917.2800,0.000000
FILLER_229_776,VSS,Metal1,442.0200,916.9310,0.000000
FILLER_229_766,VSS,Metal1,436.2400,917.2800,0.000000
FILLER_229_750,VSS,Metal1,430.5920,916.7320,0.000000
FILLER_229_740,VSS,Metal1,422.8530,916.8180,0.000000
FILLER_229_724,VSS,Metal1,416.0320,916.7320,0.000000
FILLER_229_682,VSS,Metal1,396.9240,916.6820,0.000000
FILLER_229_648,VSS,Metal1,377.8840,916.6820,0.000000
FILLER_229_614,VSS,Metal1,358.8440,916.6820,0.000000
FILLER_229_580,VSS,Metal1,339.8040,916.6820,0.000000
