net,length_um
net1183,1.4086mm
net1070,1.39788mm
net1155,1.36458mm
net1321,1.35612mm
net1065,1.35346mm
net1113,1.31569mm
net1316,1.31328mm
clknet_0_clk,1.30714mm
net1238,1.28733mm
net1117,1.28207mm
net748,1.27801mm
net879,1.27447mm
net806,1.2738mm
net1332,1.27252mm
net1243,1.27037mm
net1266,1.26786mm
net884,1.25956mm
net231,1.25307mm
net1080,1.25294mm
clknet_2_3_0_clk,1.24283mm
net1328,1.23972mm
clknet_2_0_0_clk,1.23595mm
net1431,1.23321mm
clknet_2_2_0_clk,1.2321mm
clknet_2_1_0_clk,1.22834mm
net1336,1.21836mm
net1261,1.21597mm
net1075,1.20661mm
net551,1.20413mm
net1092,1.20051mm
net1191,1.19816mm
net1197,1.19122mm
net1256,1.18159mm
net1106,1.18022mm
net1108,1.17875mm
net1121,1.17709mm
net1149,1.17456mm
net1164,1.17255mm
net1119,1.15965mm
net575,1.15644mm
net1211,1.15545mm
net1112,1.15502mm
net1087,1.15206mm
net730,1.14981mm
net1277,1.14651mm
net1085,1.14072mm
net1185,1.13931mm
net1270,1.13405mm
net1195,1.13173mm
net1110,1.12814mm
net1269,1.12809mm
net1255,1.12722mm
net1344,1.12175mm
net1190,1.12038mm
net1318,1.11954mm
_09622_,1.11939mm
net823,1.11899mm
net1323,1.11769mm
net1148,1.11307mm
net1151,1.11258mm
net1330,1.11011mm
net697,1.10912mm
net1098,1.10266mm
net76,1.10096mm
net1297,1.09781mm
net989,1.09243mm
net1229,1.08965mm
net1134,1.08839mm
net739,1.08825mm
net1296,1.08793mm
net1180,1.08316mm
net1063,1.07688mm
net1097,1.07066mm
net1245,1.0701mm
net1094,1.06953mm
net705,1.06869mm
net1170,1.06717mm
net1258,1.06657mm
net1168,1.06567mm
net972,1.06191mm
net1201,1.06133mm
net641,1.06012mm
net1203,1.05754mm
net1320,1.05536mm
net1161,1.05345mm
net1123,1.05284mm
net1130,1.05144mm
net1172,1.04551mm
_09893_,1.04195mm
net1088,1.04032mm
net1273,1.03935mm
net1084,1.03901mm
net1225,1.03645mm
net1249,1.0364mm
net1265,1.0362mm
net1247,1.03596mm
net1144,1.03524mm
_11520_,1.03381mm
net1102,1.03372mm
net1138,1.03121mm
net1207,1.02858mm
net1147,1.02173mm
net1182,1.02029mm
net280,1.01924mm
net1071,1.01667mm
net67,1.01414mm
net1125,1.01259mm
_05727_,1.01206mm
net883,1.01171mm
net1239,1.0092mm
net1253,1.00626mm
clk,1.00493mm
net1100,1.00168mm
net1326,999.58µm
net1315,997.25µm
net1193,996.13µm
net1189,995.62µm
net1096,993.98µm
net1304,989.19µm
net1141,988.09µm
net1223,986.92µm
net558,986.54µm
net1254,984.98µm
net1275,984.98µm
_09892_,983.93µm
_06035_,983.78µm
net1418,983.6µm
net1227,983.15µm
net1152,979.79µm
net855,979.75µm
_12239_,979.01µm
net1124,978.26µm
net851,976.14µm
net1307,974.29µm
net1162,973.73µm
net1136,972.24µm
net863,969.64µm
_09895_,968.64µm
net990,967.77µm
net1116,963.37µm
net1302,962.38µm
net1263,956.79µm
net1573,953.89µm
_12166_,949.89µm
net1324,949.55µm
net1205,947.76µm
net1334,946.49µm
net1200,946.44µm
net1252,943.3µm
net1220,938.39µm
net1202,938.23µm
net1074,937.69µm
net1089,936.42µm
net1586,934.89µm
net593,934.56µm
net193,932.66µm
net1241,927.37µm
net1069,925.01µm
net163,923.99µm
net171,921.97µm
net1714,921.95µm
_11518_,920.65µm
net1325,920.58µm
net1717,920.16µm
net1283,919.48µm
net1274,914.63µm
net271,910.96µm
net1699,909.98µm
net256,909.5µm
net1083,908.06µm
net1322,908.04µm
net1114,905.67µm
net143,905.41µm
net1430,905.35µm
net1174,902.51µm
net1127,901.95µm
net1712,901.6µm
net1462,900.78µm
net1213,900.33µm
net1342,899.85µm
net1295,899.48µm
net744,897.32µm
net881,894.29µm
net1187,893.65µm
net938,892.28µm
net776,891.65µm
net1313,891.11µm
_09953_,890.76µm
net722,883.24µm
net1299,882.48µm
_12208_,881.96µm
net223,880.27µm
net75,878.94µm
net1104,878.12µm
net755,877.4µm
net206,876.23µm
_12225_,873.49µm
net115,873.34µm
net1132,872.27µm
_12198_,871.86µm
net1212,871.2µm
net247,870.59µm
net904,869.57µm
_03519_,869.22µm
net179,867.74µm
net1086,866.87µm
net1157,866.6µm
net1153,863.93µm
net649,858.22µm
net797,846.96µm
net849,844.68µm
net1221,843.84µm
net136,842.26µm
net1338,841.67µm
_07837_,841.64µm
net936,841.01µm
net1228,837.49µm
net1486,835.31µm
_07539_,834.09µm
net1314,833.4µm
net189,833.36µm
net124,832.3µm
_12242_,831.04µm
net61,830.72µm
net264,830.18µm
_12292_,826.58µm
_03429_,825.13µm
net197,824.26µm
net772,823.15µm
net1214,822.68µm
net42,820.19µm
net1145,818.02µm
net854,817.45µm
net870,816.83µm
net1126,816.48µm
net1232,816.2µm
net88,815.96µm
net1115,815.61µm
net1346,814.74µm
net65,814.64µm
net1476,814.48µm
net208,812.69µm
net23,812.01µm
net1417,810.87µm
_09059_,810.83µm
net814,809.97µm
_12194_,809.8µm
net1235,809.75µm
net584,807.94µm
_08497_,805.74µm
net1140,803.89µm
net1350,802.56µm
net1478,801.78µm
net1300,801.72µm
_12162_,798.96µm
net942,798.13µm
net1578,797.89µm
net783,797.85µm
net977,797.61µm
net1343,797.33µm
net1111,794.79µm
net1237,793.82µm
net911,793.78µm
_08002_,793.25µm
net902,793.04µm
net617,792.8µm
_09991_,791.07µm
net839,790.64µm
net1095,790.25µm
net1460,789.64µm
net628,789.59µm
net1371,789.17µm
net713,788.45µm
_06743_,786.54µm
net840,785.27µm
_06038_,785.04µm
net1319,784.4µm
_06772_,784.11µm
net1268,782.82µm
net620,782.62µm
net1067,781.93µm
_10157_,780.74µm
net34,779.26µm
net1073,778.7µm
net1309,777.13µm
net826,776.91µm
net1133,776.14µm
net1459,775.24µm
net780,774.61µm
net1107,773.81µm
net1179,771.63µm
net1584,771.37µm
net1150,768.77µm
net559,768.47µm
net1234,768.22µm
net940,766.91µm
net273,766.72µm
net1209,765.7µm
net1272,765.31µm
_10162_,765.29µm
net542,764.65µm
net1592,764.65µm
_08464_,763.94µm
net1756,763.56µm
net866,762.64µm
net92,761.4µm
net1698,761.38µm
net579,761.34µm
net557,760.17µm
net132,759.31µm
net1165,759.26µm
net926,757.76µm
_12216_,757.07µm
net194,754.82µm
net809,752.63µm
net1166,751.26µm
net1340,750.8µm
_03612_,750.69µm
net811,750.19µm
net968,750.14µm
net788,749.11µm
net572,748.15µm
net1246,747.95µm
net1120,747.76µm
net1184,746.36µm
net1259,745.22µm
net616,745.15µm
net1257,744.48µm
net168,744.13µm
net31,742.62µm
net1536,742.42µm
net1251,742.35µm
net100,741.92µm
net1484,741.28µm
_04098_,740µm
net26,739.8µm
net1577,739.04µm
net966,737.36µm
net1078,736.32µm
net891,735.22µm
_12213_,735.14µm
net204,734.92µm
_12224_,734.46µm
_12192_,733.58µm
net1705,733.27µm
net534,732.43µm
_08762_,732.15µm
_04321_,731µm
net693,730.74µm
net893,729.47µm
_12339_,729.03µm
net596,727.23µm
net1311,726.77µm
net1081,725.58µm
net784,723.77µm
net580,723.37µm
net1066,721.02µm
net160,720.66µm
net908,720.53µm
net852,720.41µm
net828,717.34µm
_05059_,716.75µm
_04596_,716.59µm
net180,716.29µm
net1139,715.7µm
net787,714.86µm
net1090,714.86µm
net1479,712.97µm
_12244_,710.92µm
_08927_,710.15µm
net1271,709.74µm
net1499,708.7µm
net1178,707.89µm
net1199,706.41µm
net903,704.57µm
net84,704.27µm
net267,703.71µm
net631,703.63µm
_08134_,703.51µm
net753,702.18µm
net1217,702.1µm
net621,701.46µm
net963,700.38µm
_06397_,700.14µm
net752,699.61µm
net561,699.53µm
net1574,698.78µm
_08365_,698.41µm
net1429,698.15µm
net1881,697.66µm
_12195_,697.06µm
net874,696.79µm
net846,696.39µm
net833,695.83µm
net901,695.62µm
net974,695.26µm
net214,694.54µm
net878,693.9µm
net1177,691.97µm
net1216,691.64µm
net1485,690.03µm
net835,689.91µm
_10412_,689.04µm
_09589_,688.49µm
net969,688.08µm
net816,687.92µm
_04927_,687.08µm
net277,686.03µm
_09628_,685.47µm
net87,685.28µm
net110,685.23µm
net1353,684.64µm
net240,683.89µm
_12184_,683.61µm
_12185_,683.29µm
net1158,683.14µm
net1260,682.01µm
net1569,681.72µm
net624,681.21µm
net830,681.07µm
_05549_,681.02µm
_11894_,680.47µm
_12246_,680.09µm
net1379,680.08µm
_08299_,679.06µm
_12199_,678.67µm
net842,678.44µm
net560,677.88µm
net589,675.96µm
net750,675.71µm
net135,675.63µm
net155,674.44µm
net1188,673.88µm
net808,673.86µm
net1305,673.67µm
_12233_,672.47µm
net28,672.08µm
net758,672.02µm
net971,671.9µm
_04370_,671.35µm
net1716,669.9µm
net1537,669.15µm
net646,668.99µm
net1181,668.94µm
net147,668.03µm
_04234_,667.67µm
_06651_,665.54µm
net144,665.22µm
net890,664.67µm
net1563,664.28µm
_12186_,664.24µm
net735,663.06µm
net257,662.78µm
_04931_,662.54µm
net60,662.53µm
_12229_,662.36µm
net188,660.39µm
net710,659.98µm
net603,659.34µm
net1160,659.22µm
net538,656.67µm
net105,653.64µm
net1226,653.31µm
net988,651.77µm
net800,651.02µm
net861,650.07µm
net764,649.19µm
net74,648.73µm
net176,648.6µm
net1715,648.13µm
net802,647.77µm
key\[23\],647.14µm
net1335,646.9µm
net47,646.8µm
net1101,646.12µm
net1446,646.03µm
net1267,644.8µm
net57,644.78µm
net885,643.49µm
net209,643.38µm
net1276,643.08µm
net757,642.77µm
net1064,642.74µm
net1196,642.64µm
net245,642.16µm
net894,641.22µm
net607,640.38µm
_03788_,640.28µm
net639,639.92µm
net106,639.82µm
net1713,639.61µm
net555,639.45µm
net196,639.11µm
net858,638.79µm
net1175,638.65µm
net39,637.53µm
net164,637.53µm
_12211_,637.11µm
net83,636.89µm
_12206_,636.74µm
net230,635.95µm
net636,635.75µm
net847,635.31µm
pp_inst.core_inst.dom_sep_done,634.89µm
net754,634.73µm
net618,634.37µm
key\[28\],634.35µm
net799,633.76µm
net217,633.14µm
net1210,632.49µm
net777,631.93µm
net1068,631.83µm
_07267_,631.77µm
net892,631.01µm
net139,630.61µm
net1167,630.06µm
net1240,629.93µm
net609,629.79µm
net1264,629.28µm
net630,629.18µm
_10022_,628.67µm
_06732_,628.44µm
net768,628.16µm
_07771_,627.04µm
net605,626.94µm
net1186,625.82µm
key\[13\],624.42µm
net36,624.39µm
net912,623.55µm
_05003_,623.16µm
net1480,622.9µm
net96,622.61µm
net896,622.29µm
net857,621.95µm
net905,621.92µm
_12335_,621.16µm
net1079,621.11µm
net818,620.85µm
_10962_,620.73µm
_12245_,620.49µm
net629,619.76µm
key\[18\],619.56µm
net976,619.1µm
net868,618.61µm
net128,618.03µm
net711,617.37µm
net68,616.8µm
_10257_,616.67µm
net707,616.61µm
net1099,616.45µm
net822,616.35µm
_10296_,616.3µm
net186,616.3µm
net91,615.84µm
_06334_,615.18µm
net906,614.21µm
_06438_,614.16µm
net1695,614.16µm
net824,613.85µm
net1576,613.5µm
net198,613.45µm
net680,611.31µm
net775,611.31µm
net242,610.34µm
rx_data\[1\],610.04µm
_03963_,609.61µm
net634,609.4µm
_12176_,609.1µm
net246,608.66µm
net1754,608.65µm
key\[26\],607.41µm
net255,606.88µm
net1244,606.58µm
_05042_,606.48µm
net1146,605.76µm
net200,605.71µm
_03607_,605.43µm
net131,604.39µm
net1458,604.13µm
net1103,603.37µm
net867,602.99µm
net1248,601.54µm
net1327,601.2µm
_12220_,600.56µm
key\[22\],600.51µm
_09912_,600.11µm
net1154,600.11µm
net741,599.94µm
net1588,599.4µm
net774,597.7µm
net20,597.31µm
net958,597.06µm
net114,596.9µm
net279,596.29µm
_10025_,595.58µm
net632,595.48µm
net1345,594.46µm
net650,593.59µm
net259,592.73µm
net1333,592.65µm
net268,592.52µm
net29,592.22µm
net595,591.76µm
net970,591.41µm
net1590,591.2µm
net1230,591.05µm
net1489,590.45µm
key\[20\],590.01µm
net706,589.75µm
net252,589.47µm
net1487,589.4µm
net1301,589.22µm
net1076,587.64µm
net1697,587.18µm
net123,587.13µm
net152,586.62µm
net888,586.47µm
net1331,586.42µm
net202,585.55µm
pp_inst.core_inst.asconp_i.round_cnt\[0\],585.44µm
net248,585.21µm
_12226_,583.98µm
net1568,583.76µm
_03876_,583.57µm
net843,583.06µm
net1428,582.55µm
net1233,582.04µm
net1352,581.53µm
net1623,580.82µm
net1711,580.74µm
net647,580.46µm
net733,580.05µm
net1173,579.16µm
net253,578.78µm
net726,578.12µm
net727,577.76µm
net483,577.71µm
net704,577.46µm
_08563_,577.17µm
net793,576.77µm
net266,576.44µm
net804,576.34µm
_08696_,576.28µm
net887,575.57µm
net1388,575.53µm
net1142,574.86µm
net1560,574.4µm
net1176,574.3µm
net108,573.03µm
net138,572.85µm
net567,572.57µm
net1841,571.71µm
net40,571.65µm
rx_data\[3\],570.94µm
net1156,570.81µm
net537,570.07µm
net1143,569.62µm
_12234_,569.41µm
net37,569µm
net882,568.14µm
_03657_,567.49µm
_12203_,566.67µm
net1017,566.52µm
net275,565.9µm
net1171,565.85µm
net962,565.54µm
net819,563.76µm
net64,563.61µm
net929,563.38µm
net1706,563.2µm
net1422,562.95µm
net89,562.58µm
net170,562.54µm
net699,561.89µm
net1169,561.88µm
net547,561.52µm
net1840,561.26µm
net236,560.53µm
net1198,559.69µm
_10873_,559.24µm
_12236_,559.22µm
net48,559.18µm
net1206,557.35µm
net1691,557.28µm
net109,557.06µm
net278,557.04µm
net1703,556.59µm
net126,555.97µm
_04055_,555.92µm
net965,555.9µm
net574,555.67µm
_10110_,555.51µm
net917,555.43µm
net1290,555.06µm
net142,555µm
net689,554.55µm
net935,553.97µm
net1450,553.63µm
_12217_,552.58µm
net759,552.41µm
net1362,551.57µm
net1278,550.02µm
net691,549.71µm
_05220_,549.48µm
net1215,549.15µm
net1219,549.05µm
net601,548.59µm
net539,547.88µm
net832,547.52µm
net1481,547.52µm
net1109,547.37µm
net1250,547.27µm
_05803_,546.06µm
net798,544.67µm
net201,544.45µm
_10470_,544µm
net269,543.91µm
net81,543.55µm
net921,542.43µm
net1222,541.72µm
net113,541.36µm
_11339_,540.86µm
_04143_,540.57µm
net565,539.68µm
net586,539.31µm
net943,539.2µm
_04889_,539µm
net1128,538.56µm
net860,537.58µm
net773,537.34µm
net182,537.19µm
_10141_,537.09µm
net1308,536.07µm
net541,535.61µm
_05022_,535.46µm
net1163,535.05µm
net501,534.69µm
net118,534.59µm
net762,534.59µm
net159,534.47µm
_12215_,533.5µm
net975,533.47µm
_04320_,533.27µm
net1192,533.27µm
net1580,532.15µm
net1482,531.28µm
net869,531.04µm
net533,530.72µm
net27,530.52µm
_06566_,529.22µm
net562,529.14µm
_10557_,529.04µm
net1452,528.38µm
_10648_,527.85µm
_12232_,527.26µm
_08101_,526.74µm
_10250_,525.83µm
net581,525.58µm
_10105_,525.48µm
net1002,525.43µm
net886,524.92µm
net1454,524.74µm
_06598_,524.6µm
net117,524.41µm
net600,524.41µm
net1464,524.1µm
_10420_,523.46µm
net909,523.45µm
net723,522.93µm
net1582,522.68µm
net709,522.4µm
net1442,522.18µm
_12190_,522.17µm
net174,521.1µm
net613,521.05µm
net1204,520.49µm
net614,520.34µm
_09180_,520.18µm
net220,519.98µm
net853,519.97µm
net1436,519.88µm
_11364_,519.77µm
net239,519.58µm
net724,519.04µm
net1451,518.86µm
net1441,518.82µm
net939,518.71µm
net90,518.25µm
_10210_,517.76µm
_04011_,516.01µm
_06497_,515.96µm
net1312,515.91µm
net1587,514.5µm
net112,514.18µm
_10511_,514.16µm
net889,513.7µm
net563,513.67µm
net102,513.41µm
net78,513.26µm
net941,512.7µm
net960,512.04µm
net1483,511.02µm
net922,510.94µm
net719,510.74µm
_03655_,510.72µm
net957,510.31µm
net875,510.25µm
_10060_,509.66µm
pp_inst.core_inst.kadd_3_done,509.54µm
net864,509.39µm
net1224,509.19µm
net1372,508.98µm
net1329,508.93µm
net916,508.88µm
net215,508.84µm
net1591,508.68µm
net157,508.37µm
net98,508.12µm
_05296_,507.66µm
net1583,507.64µm
_09125_,507.01µm
_04893_,506.49µm
net69,506.08µm
net695,506.08µm
_04886_,505.93µm
net199,505.93µm
net1236,505.47µm
net121,505.42µm
net1077,505.37µm
net1093,505.22µm
net597,504.3µm
rx_data\[7\],503.89µm
net1579,503.66µm
net226,503.33µm
net837,503.23µm
net827,503.18µm
_04641_,503.13µm
_03874_,502.34µm
net856,501.65µm
net120,501.4µm
net825,501.31µm
net778,501.17µm
net716,500.99µm
_07471_,500.96µm
_03469_,500.82µm
net73,500.33µm
_09365_,499.67µm
net880,499.67µm
net263,499.26µm
net612,499.16µm
net553,498.93µm
net449,498.24µm
net173,498.06µm
net225,497.95µm
net791,496.05µm
key\[29\],495.8µm
net729,495.72µm
net848,495.1µm
rx_data\[0\],494.83µm
net1303,494.68µm
_04277_,494.3µm
net1218,493.97µm
_06103_,493.61µm
net531,493.3µm
_06765_,493.29µm
net1604,493.27µm
net702,493.05µm
net165,492.03µm
net59,491.57µm
_05726_,491.51µm
_10602_,491.42µm
net1557,491.37µm
_11769_,491.32µm
net782,490.58µm
net432,490.4µm
net1632,489.69µm
_08233_,489.32µm
_12207_,489.08µm
net528,488.77µm
net1262,488.52µm
net1292,488.48µm
net71,488.06µm
net765,487.45µm
key\[21\],487.3µm
net1341,486.89µm
net591,486.58µm
net635,486.48µm
net1761,486.43µm
net1405,486.36µm
net751,485.82µm
_04882_,484.78µm
_11067_,484.55µm
net924,484.25µm
net964,483.22µm
net211,481.49µm
net191,481.44µm
net1414,480.68µm
_10868_,480.44µm
net222,480.37µm
_03919_,480.25µm
net973,479.57µm
net192,479.48µm
_05485_,479.41µm
_09496_,478.42µm
_12201_,478.35µm
_05794_,478.16µm
_04879_,478.03µm
_05362_,478.03µm
net72,476.81µm
net1339,476.4µm
_04905_,476.35µm
net1585,476.1µm
_09970_,475.74µm
net1589,475.54µm
net151,474.87µm
_10506_,474.57µm
net129,474.37µm
net785,473.5µm
net642,472.57µm
net1415,472.23µm
net1447,472.23µm
_03831_,471.47µm
net1477,471.47µm
net1028,471.28µm
_11336_,471.26µm
_04144_,469.42µm
key\[27\],469.38µm
_10465_,469.14µm
net1440,469.1µm
net626,468.92µm
_10550_,468.79µm
net927,467.75µm
_04410_,467.24µm
net526,467.24µm
_10803_,466.62µm
net615,465.76µm
_03562_,465.46µm
net93,465µm
net149,464.82µm
net934,464.54µm
_10642_,464.03µm
net587,463.47µm
net1298,463.44µm
net1231,463.13µm
net549,463.01µm
net576,462.86µm
net746,462.76µm
net1286,462.4µm
_06493_,461.9µm
_06173_,461.64µm
net33,461.18µm
net594,461.18µm
_10386_,461.1µm
_06666_,460.21µm
_10596_,459.5µm
_05773_,459.37µm
net1755,458.86µm
net569,458.43µm
net233,458.06µm
net1284,457.87µm
net749,457.82µm
net978,457.23µm
net1645,457.13µm
net606,456.75µm
net1725,455.53µm
net831,454.82µm
net1708,454.77µm
_03830_,454.02µm
net85,453.88µm
net134,453.85µm
_10205_,453.75µm
net625,453.49µm
net1690,453.36µm
net623,453.24µm
_05783_,453µm
net1758,452.42µm
net224,452.39µm
net872,452.22µm
net103,452.17µm
net161,451.76µm
net95,451.66µm
_10690_,451.65µm
net1194,451.28µm
_05153_,451.1µm
net731,451.1µm
net845,451.09µm
net1882,450.8µm
net865,450.02µm
_09184_,449.63µm
net810,449.42µm
net1720,449.27µm
_03516_,449.17µm
net1571,448.25µm
_04945_,448.2µm
_05073_,448.1µm
_11519_,447.75µm
net55,447.74µm
key\[19\],447.64µm
net720,447.13µm
net97,446.77µm
net556,446.31µm
_08266_,446.06µm
net588,445.5µm
_09179_,444.99µm
net183,444.43µm
net304,444.38µm
net1593,444.18µm
net1285,443.82µm
net1349,443.77µm
net1448,443.72µm
net756,443.69µm
net185,443.46µm
net862,443.23µm
_04639_,441.94µm
_05878_,441.48µm
net1420,441.43µm
_03964_,440.36µm
net260,439.34µm
net895,439.34µm
net1288,438.86µm
_09178_,438.22µm
net1105,437.71µm
net760,437.51µm
net708,436.95µm
net45,436.64µm
_03743_,436.35µm
net1360,435.93µm
net577,435.8µm
net172,435.57µm
net554,435.47µm
_10278_,435.26µm
_10951_,435.17µm
net25,435.16µm
_06536_,435.06µm
_06463_,434.93µm
net133,434.91µm
key\[30\],434.76µm
net127,434.1µm
net564,433.84µm
net431,433.44µm
net276,433.23µm
net153,433.18µm
net522,432.77µm
net177,432.72µm
net1122,432.57µm
net21,432.16µm
net725,431.55µm
_09969_,430.61µm
net552,430.12µm
net167,429.92µm
net1354,429.62µm
_09356_,428.8µm
net38,428.14µm
net1707,427.35µm
net742,427.12µm
net899,426.56µm
net1753,426.4µm
net568,426µm
net767,425.7µm
net207,424.93µm
_05358_,424.84µm
net1495,424.49µm
net1564,424.22µm
net125,423.97µm
net1562,423.61µm
net1461,423.51µm
net46,422.49µm
net1159,421.98µm
_05126_,421.94µm
_10002_,421.88µm
net1575,421.47µm
net146,420.91µm
net910,420.3µm
net94,420.24µm
_03473_,420.2µm
_05869_,419.87µm
net305,419.81µm
net35,419.59µm
net1581,419.59µm
_05733_,419.38µm
net540,419.33µm
net228,419.28µm
net1382,419.23µm
net1796,419.13µm
net1072,419.03µm
net250,418.82µm
net116,418.57µm
net243,418.57µm
net838,418.47µm
net1760,418.47µm
_11328_,418.01µm
net1423,417.55µm
_05099_,417.41µm
net644,416.94µm
net238,416.38µm
key\[17\],416.13µm
net1600,416.07µm
net812,415.67µm
net1641,415.67µm
net1704,415.59µm
_09890_,415.21µm
net573,415.21µm
net1434,414.6µm
net622,414.19µm
_11521_,413.83µm
net232,413.63µm
net1131,413.53µm
net841,413.12µm
net22,412.97µm
net270,412.41µm
net219,411.9µm
net195,411.8µm
net49,411.49µm
_09961_,411.19µm
_11179_,411.1µm
net740,410.78µm
net928,410.27µm
_05850_,410.15µm
clknet_6_33_0_clk,409.61µm
net111,408.69µm
_07060_,408.63µm
_05724_,408.44µm
net915,407.52µm
net1764,406.96µm
net1739,405.89µm
net897,405.74µm
net1439,405.28µm
net544,405.08µm
net51,404.77µm
net77,404.67µm
net792,404.67µm
net919,404.67µm
net130,404.57µm
net728,404.57µm
net63,404.16µm
net212,404.01µm
net1421,404.01µm
_03700_,403.86µm
_11134_,403.86µm
net578,403.5µm
_11770_,403.06µm
net1508,402.99µm
net959,402.53µm
_11186_,402.52µm
net1137,402.28µm
net604,402.07µm
net643,401.92µm
net1435,401.82µm
_12237_,401.64µm
net789,400.7µm
_10438_,400.05µm
net582,399.83µm
net1827,399.5µm
_12221_,399.4µm
net714,399.35µm
net1709,399.17µm
net349,399.02µm
net62,398.68µm
net441,398.56µm
_10072_,398.31µm
_10665_,397.9µm
_09497_,397.75µm
net3,397.75µm
_05434_,397.7µm
_10321_,397.51µm
net769,397.34µm
net877,396.95µm
clknet_6_48_0_clk,396.78µm
_05980_,396.12µm
net258,395.95µm
net619,395.71µm
_04991_,395.56µm
_10534_,395.47µm
net525,395.41µm
net913,395.2µm
net1291,395.15µm
net1394,395µm
_09968_,394.85µm
net918,394.69µm
net249,394.59µm
net651,394.56µm
_03787_,394.5µm
net79,394.08µm
