Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VDD,Metal1,908.6000,913.3600,4.999959
FILLER_229_1608,VDD,Metal1,907.7600,913.3600,4.999959
FILLER_229_1600,VDD,Metal1,905.4665,913.9365,4.999959
FILLER_229_1566,VDD,Metal1,893.3155,914.1285,4.999959
FILLER_229_1532,VDD,Metal1,874.2755,914.1285,4.999959
FILLER_229_1498,VDD,Metal1,855.2355,914.1285,4.999959
FILLER_229_1464,VDD,Metal1,836.1955,914.1285,4.999959
FILLER_229_1430,VDD,Metal1,817.1555,914.1285,4.999959
FILLER_229_1396,VDD,Metal1,798.1155,914.1285,4.999960
FILLER_229_1362,VDD,Metal1,779.0755,914.1285,4.999959
FILLER_229_1328,VDD,Metal1,760.0355,914.1285,4.999958
FILLER_229_1294,VDD,Metal1,740.9955,914.1285,4.999958
FILLER_229_1260,VDD,Metal1,721.9555,914.1285,4.999955
FILLER_229_1226,VDD,Metal1,702.9155,914.1285,4.999955
FILLER_229_1223,VDD,Metal1,691.8800,913.3600,4.999953
FILLER_229_1221,VDD,Metal1,691.0400,913.3600,4.999953
FILLER_229_1213,VDD,Metal1,688.7465,913.9365,4.999953
FILLER_229_1197,VDD,Metal1,682.1280,914.0520,4.999953
FILLER_229_1158,VDD,Metal1,664.8355,914.1285,4.999952
FILLER_229_1155,VDD,Metal1,653.8000,913.3600,4.999952
FILLER_229_1153,VDD,Metal1,652.9600,913.3600,4.999952
FILLER_229_1145,VDD,Metal1,650.6665,913.9365,4.999952
FILLER_229_1133,VDD,Metal1,642.7000,913.7925,4.999953
FILLER_229_1124,VDD,Metal1,637.6600,913.7925,4.999953
FILLER_229_1121,VDD,Metal1,634.7600,913.3600,4.999953
FILLER_229_1113,VDD,Metal1,632.7465,913.9365,4.999950
FILLER_229_1090,VDD,Metal1,617.6800,913.3600,4.999950
FILLER_229_1056,VDD,Metal1,607.7155,914.1285,4.999950
FILLER_229_1022,VDD,Metal1,588.6755,914.1285,4.999952
FILLER_229_988,VDD,Metal1,569.6355,914.1285,4.999953
FILLER_229_954,VDD,Metal1,550.5955,914.1285,4.999953
FILLER_229_920,VDD,Metal1,531.5555,914.1285,4.999953
FILLER_229_886,VDD,Metal1,512.5155,914.1285,4.999953
FILLER_229_852,VDD,Metal1,493.4755,914.1285,4.999953
FILLER_229_818,VDD,Metal1,474.4355,914.1285,4.999953
FILLER_229_784,VDD,Metal1,455.3955,914.1285,4.999953
FILLER_229_778,VDD,Metal1,443.9000,913.7925,4.999945
FILLER_229_770,VDD,Metal1,440.6665,913.9365,4.999945
FILLER_229_764,VDD,Metal1,434.8400,913.3600,4.999945
FILLER_229_762,VDD,Metal1,434.0000,913.3600,4.999945
FILLER_229_758,VDD,Metal1,432.7000,913.7925,4.999945
FILLER_229_750,VDD,Metal1,429.4665,913.9365,4.999945
FILLER_229_716,VDD,Metal1,417.3155,914.1285,4.999945
FILLER_229_713,VDD,Metal1,406.2800,913.3600,4.999946
FILLER_229_711,VDD,Metal1,405.4400,913.3600,4.999946
FILLER_229_707,VDD,Metal1,404.1400,913.7925,4.999946
FILLER_229_698,VDD,Metal1,397.8800,913.3600,4.999946
FILLER_229_682,VDD,Metal1,393.7280,914.0520,4.999946
FILLER_229_648,VDD,Metal1,379.2355,914.1285,4.999946
FILLER_229_644,VDD,Metal1,367.9200,913.3600,4.999946
FILLER_229_628,VDD,Metal1,363.4880,914.0520,4.999947
FILLER_229_622,VDD,Metal1,355.3200,913.3600,4.999947
FILLER_229_614,VDD,Metal1,353.3065,913.9365,4.999947
FILLER_229_580,VDD,Metal1,341.1555,914.1285,4.999947
FILLER_229_546,VDD,Metal1,322.1155,914.1285,4.999947
FILLER_229_512,VDD,Metal1,303.0755,914.1285,4.999947
FILLER_229_478,VDD,Metal1,284.0355,914.1285,4.999947
FILLER_229_444,VDD,Metal1,264.9955,914.1285,4.999947
FILLER_229_441,VDD,Metal1,253.9600,913.3600,4.999947
FILLER_229_439,VDD,Metal1,253.1200,913.3600,4.999947
FILLER_229_431,VDD,Metal1,250.8265,913.9365,4.999947
FILLER_229_415,VDD,Metal1,244.2080,914.0520,4.999947
FILLER_229_376,VDD,Metal1,226.9155,914.1285,4.999947
FILLER_229_342,VDD,Metal1,207.8755,914.1285,4.999947
FILLER_229_308,VDD,Metal1,188.8355,914.1285,4.999949
FILLER_229_274,VDD,Metal1,169.7955,914.1285,4.999953
FILLER_229_240,VDD,Metal1,150.7555,914.1285,4.999953
FILLER_229_206,VDD,Metal1,131.7155,914.1285,4.999954
FILLER_229_172,VDD,Metal1,112.6755,914.1285,4.999954
FILLER_229_138,VDD,Metal1,93.6355,914.1285,4.999955
FILLER_229_104,VDD,Metal1,74.5955,914.1285,4.999955
FILLER_229_70,VDD,Metal1,55.5555,914.1285,4.999957
FILLER_229_36,VDD,Metal1,36.5155,914.1285,4.999957
FILLER_229_2,VDD,Metal1,17.4755,914.1285,4.999961
FILLER_228_1609,VDD,Metal1,908.3200,913.3600,4.999959
FILLER_228_1577,VDD,Metal1,899.4755,912.5910,4.999959
FILLER_228_1571,VDD,Metal1,887.9800,912.9275,4.999959
FILLER_228_1507,VDD,Metal1,869.2750,912.5455,4.999959
FILLER_228_1501,VDD,Metal1,848.7800,912.9275,4.999959
FILLER_228_1437,VDD,Metal1,830.0750,912.5455,4.999959
FILLER_228_1431,VDD,Metal1,809.5800,912.9275,4.999959
FILLER_228_1367,VDD,Metal1,790.8750,912.5455,4.999959
FILLER_228_1361,VDD,Metal1,770.3800,912.9275,4.999959
FILLER_228_1297,VDD,Metal1,751.6750,912.5455,4.999958
FILLER_228_1294,VDD,Metal1,731.6400,913.3600,4.999956
FILLER_228_1292,VDD,Metal1,730.8000,913.3600,4.999956
FILLER_228_1288,VDD,Metal1,729.5000,912.9275,4.999955
FILLER_228_1272,VDD,Metal1,724.1280,912.6680,4.999955
FILLER_228_1242,VDD,Metal1,702.5200,913.3600,4.999955
FILLER_228_1240,VDD,Metal1,701.6800,913.3600,4.999955
FILLER_228_1232,VDD,Metal1,699.3865,912.7830,4.999955
FILLER_228_1224,VDD,Metal1,692.4400,913.3600,4.999953
FILLER_228_1200,VDD,Metal1,683.8080,912.6680,4.999953
FILLER_228_1170,VDD,Metal1,662.2000,913.3600,4.999952
FILLER_228_1147,VDD,Metal1,651.7865,912.7830,4.999952
FILLER_228_1087,VDD,Metal1,616.0000,913.3600,4.999950
FILLER_228_1055,VDD,Metal1,597.8000,913.3600,4.999952
FILLER_228_1053,VDD,Metal1,596.9600,913.3600,4.999952
FILLER_228_1049,VDD,Metal1,595.6600,912.9275,4.999952
FILLER_228_1017,VDD,Metal1,585.8755,912.5910,4.999952
FILLER_228_1011,VDD,Metal1,574.3800,912.9275,4.999953
FILLER_228_947,VDD,Metal1,555.6750,912.5455,4.999953
FILLER_228_941,VDD,Metal1,535.1800,912.9275,4.999953
FILLER_228_877,VDD,Metal1,516.4750,912.5455,4.999953
FILLER_228_871,VDD,Metal1,495.9800,912.9275,4.999953
FILLER_228_807,VDD,Metal1,477.2750,912.5455,4.999953
FILLER_228_804,VDD,Metal1,457.2400,913.3600,4.999953
FILLER_228_796,VDD,Metal1,455.2265,912.7830,4.999953
FILLER_228_780,VDD,Metal1,448.6080,912.6680,4.999953
FILLER_228_750,VDD,Metal1,427.0000,913.3600,4.999945
FILLER_228_719,VDD,Metal1,414.4480,912.6680,4.999945
FILLER_228_689,VDD,Metal1,392.8400,913.3600,4.999946
FILLER_228_687,VDD,Metal1,392.0000,913.3600,4.999946
FILLER_228_683,VDD,Metal1,390.7000,912.9275,4.999946
FILLER_228_677,VDD,Metal1,386.1200,913.3600,4.999946
FILLER_228_667,VDD,Metal1,380.8000,913.3600,4.999946
FILLER_228_663,VDD,Metal1,378.5600,913.3600,4.999946
FILLER_228_659,VDD,Metal1,377.2600,912.9275,4.999946
FILLER_228_651,VDD,Metal1,374.0265,912.7830,4.999946
FILLER_228_635,VDD,Metal1,367.4080,912.6680,4.999946
FILLER_228_605,VDD,Metal1,345.8000,913.3600,4.999947
FILLER_228_597,VDD,Metal1,343.7865,912.7830,4.999947
FILLER_228_591,VDD,Metal1,339.1800,912.9275,4.999947
FILLER_228_527,VDD,Metal1,320.4750,912.5455,4.999947
FILLER_228_521,VDD,Metal1,299.9800,912.9275,4.999947
FILLER_228_457,VDD,Metal1,281.2750,912.5455,4.999947
FILLER_228_451,VDD,Metal1,260.7800,912.9275,4.999947
FILLER_228_419,VDD,Metal1,250.9955,912.5910,4.999947
FILLER_228_389,VDD,Metal1,224.8400,913.3600,4.999947
FILLER_228_387,VDD,Metal1,224.0000,913.3600,4.999947
FILLER_228_354,VDD,Metal1,205.5200,913.3600,4.999947
FILLER_228_346,VDD,Metal1,203.2265,912.7830,4.999947
FILLER_228_311,VDD,Metal1,182.3800,912.9275,4.999949
FILLER_228_281,VDD,Metal1,164.3600,913.3600,4.999953
FILLER_228_279,VDD,Metal1,163.5200,913.3600,4.999953
FILLER_228_247,VDD,Metal1,154.6755,912.5910,4.999953
FILLER_228_241,VDD,Metal1,143.1800,912.9275,4.999954
FILLER_228_177,VDD,Metal1,124.4750,912.5455,4.999954
FILLER_228_171,VDD,Metal1,103.9800,912.9275,4.999954
FILLER_228_107,VDD,Metal1,85.2750,912.5455,4.999955
FILLER_228_101,VDD,Metal1,64.7800,912.9275,4.999956
FILLER_228_37,VDD,Metal1,46.0750,912.5455,4.999957
FILLER_228_34,VDD,Metal1,26.0400,913.3600,4.999961
FILLER_228_2,VDD,Metal1,17.4755,912.5910,4.999961
FILLER_227_1608,VDD,Metal1,907.4800,905.5200,4.999877
FILLER_227_1606,VDD,Metal1,906.6400,905.5200,4.999877
FILLER_227_1542,VDD,Metal1,888.8750,906.3340,4.999877
FILLER_227_1536,VDD,Metal1,868.3800,905.9525,4.999877
FILLER_227_1472,VDD,Metal1,849.6750,906.3340,4.999877
FILLER_227_1466,VDD,Metal1,829.1800,905.9525,4.999877
FILLER_227_1402,VDD,Metal1,810.4750,906.3340,4.999877
FILLER_227_1396,VDD,Metal1,789.9800,905.9525,4.999877
FILLER_227_1332,VDD,Metal1,771.2750,906.3340,4.999877
FILLER_227_1329,VDD,Metal1,751.2400,905.5200,4.999877
FILLER_227_1327,VDD,Metal1,750.4000,905.5200,4.999877
FILLER_227_1323,VDD,Metal1,749.1000,905.9525,4.999877
FILLER_227_1307,VDD,Metal1,743.7280,906.2120,4.999877
FILLER_227_1275,VDD,Metal1,730.3555,906.2885,4.999876
FILLER_227_1258,VDD,Metal1,711.7600,905.5200,4.999872
FILLER_227_1207,VDD,Metal1,682.9200,905.5200,4.999840
FILLER_227_1205,VDD,Metal1,682.0800,905.5200,4.999840
FILLER_227_1188,VDD,Metal1,672.5600,905.5200,4.999840
FILLER_227_1178,VDD,Metal1,666.9600,905.5200,4.999835
