Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VSS,Metal1,908.6000,917.2800,0.000000
FILLER_229_1608,VSS,Metal1,907.7600,917.2800,0.000000
FILLER_229_1600,VSS,Metal1,904.4530,916.8180,0.000000
FILLER_229_1566,VSS,Metal1,891.9640,916.6820,0.000000
FILLER_229_1532,VSS,Metal1,872.9240,916.6820,0.000000
FILLER_229_1498,VSS,Metal1,853.8840,916.6820,0.000000
FILLER_229_1464,VSS,Metal1,834.8440,916.6820,0.000000
FILLER_229_1430,VSS,Metal1,815.8040,916.6820,0.000000
FILLER_229_1396,VSS,Metal1,796.7640,916.6820,0.000000
FILLER_229_1362,VSS,Metal1,777.7240,916.6820,0.000000
FILLER_229_1328,VSS,Metal1,758.6840,916.6820,0.000000
FILLER_229_1294,VSS,Metal1,739.6440,916.6820,0.000000
FILLER_229_1260,VSS,Metal1,720.6040,916.6820,0.000000
FILLER_229_1226,VSS,Metal1,701.5640,916.6820,0.000000
FILLER_229_1223,VSS,Metal1,691.8800,917.2800,0.000000
FILLER_229_1221,VSS,Metal1,691.0400,917.2800,0.000000
FILLER_229_1213,VSS,Metal1,687.7330,916.8180,0.000000
FILLER_229_1197,VSS,Metal1,680.9120,916.7320,0.000000
FILLER_229_1158,VSS,Metal1,663.4840,916.6820,0.000000
FILLER_229_1155,VSS,Metal1,653.8000,917.2800,0.000000
FILLER_229_1153,VSS,Metal1,652.9600,917.2800,0.000000
FILLER_229_1145,VSS,Metal1,649.6530,916.8180,0.000000
FILLER_229_1133,VSS,Metal1,641.9400,916.9310,0.000000
FILLER_229_1124,VSS,Metal1,636.9000,916.9310,0.000000
FILLER_229_1121,VSS,Metal1,634.7600,917.2800,0.000000
FILLER_229_1113,VSS,Metal1,631.7330,916.8180,0.000000
FILLER_229_1090,VSS,Metal1,617.6800,917.2800,0.000000
FILLER_229_1056,VSS,Metal1,606.3640,916.6820,0.000000
FILLER_229_1022,VSS,Metal1,587.3240,916.6820,0.000000
FILLER_229_988,VSS,Metal1,568.2840,916.6820,0.000000
FILLER_229_954,VSS,Metal1,549.2440,916.6820,0.000000
FILLER_229_920,VSS,Metal1,530.2040,916.6820,0.000000
FILLER_229_886,VSS,Metal1,511.1640,916.6820,0.000000
FILLER_229_852,VSS,Metal1,492.1240,916.6820,0.000000
FILLER_229_818,VSS,Metal1,473.0840,916.6820,0.000000
FILLER_229_784,VSS,Metal1,454.0440,916.6820,0.000000
FILLER_229_778,VSS,Metal1,443.1400,916.9310,0.000000
FILLER_229_770,VSS,Metal1,439.6530,916.8180,0.000000
FILLER_229_764,VSS,Metal1,434.8400,917.2800,0.000000
FILLER_229_762,VSS,Metal1,434.0000,917.2800,0.000000
FILLER_229_758,VSS,Metal1,431.9400,916.9310,0.000000
FILLER_229_750,VSS,Metal1,428.4530,916.8180,0.000000
FILLER_229_716,VSS,Metal1,415.9640,916.6820,0.000000
FILLER_229_713,VSS,Metal1,406.2800,917.2800,0.000000
FILLER_229_711,VSS,Metal1,405.4400,917.2800,0.000000
FILLER_229_707,VSS,Metal1,403.3800,916.9310,0.000000
FILLER_229_698,VSS,Metal1,397.8800,917.2800,0.000000
FILLER_229_682,VSS,Metal1,392.5120,916.7320,0.000000
FILLER_229_648,VSS,Metal1,377.8840,916.6820,0.000000
FILLER_229_644,VSS,Metal1,367.9200,917.2800,0.000000
FILLER_229_628,VSS,Metal1,362.2720,916.7320,0.000000
